Nome;Diffusione (Frequenza);Diffusione (Percentuale)
 ANDREA;2084;1,2
 FRANCESCO;1826;1,1
 MARCO;1734;1,0
 GIUSEPPE;1684;1,0
 MARIA;1679;1,0
 ALESSANDRO;1666;1,0
 LUCA;1653;1,0
 ANNA;1439;0,8
 ANTONIO;1381;0,8
 FRANCESCA;1340;0,8
 GIOVANNI;1318;0,8
 PAOLO;1292;0,8
 STEFANO;1237;0,7
 ROBERTO;1202;0,7
 MATTEO;1197;0,7
 ELENA;1141;0,7
 DAVIDE;1072;0,6
 GIULIA;1041;0,6
 SARA;1014;0,6
 LAURA;991;0,6
 PAOLA;952;0,6
 CHIARA;927;0,5
 LORENZO;903;0,5
 LUIGI;831;0,5
 DANIELA;828;0,5
 DANIELE;789;0,5
 SIMONE;785;0,5
 MASSIMO;768;0,4
 GABRIELE;767;0,4
 RICCARDO;766;0,4
 SALVATORE;762;0,4
 SILVIA;760;0,4
 ALBERTO;757;0,4
 FEDERICO;733;0,4
 CLAUDIO;715;0,4
 CRISTINA;685;0,4
 MONICA;683;0,4
 ELISA;680;0,4
 FABIO;674;0,4
 FEDERICA;672;0,4
 VALENTINA;671;0,4
 GIORGIO;669;0,4
 FRANCO;661;0,4
 VINCENZO;646;0,4
 MARTINA;644;0,4
 LUCIA;641;0,4
 PATRIZIA;629;0,4
 GIOVANNA;622;0,4
 PIETRO;616;0,4
 ANGELA;608;0,4
 MAURO;605;0,4
 MICHELE;599;0,3
 GIUSEPPINA;594;0,3
 BARBARA;584;0,3
 MARIO;584;0,3
 ALESSANDRA;582;0,3
 MATTIA;567;0,3
 DOMENICO;561;0,3
 MAURIZIO;546;0,3
 STEFANIA;531;0,3
 SIMONA;526;0,3
 LUCIANO;522;0,3
 ROBERTA;521;0,3
 ANTONELLA;516;0,3
 ALESSIA;515;0,3
 FILIPPO;515;0,3
 CARLA;510;0,3
 CLAUDIA;505;0,3
 CARLO;488;0,3
 ENRICO;486;0,3
 ALICE;485;0,3
 FRANCA;466;0,3
 ELISABETTA;450;0,3
 SOFIA;449;0,3
 SERGIO;447;0,3
 ANGELO;439;0,3
 GIORGIA;433;0,3
 FABRIZIO;430;0,3
 LUISA;416;0,2
 LEONARDO;412;0,2
 GIANLUCA;411;0,2
 CATERINA;410;0,2
 CRISTIAN;410;0,2
 ANNA MARIA;407;0,2
 NICOLA;405;0,2
 GIANNI;398;0,2
 RITA;392;0,2
 TOMMASO;376;0,2
 SILVANA;374;0,2
 ROSA;370;0,2
 MARISA;362;0,2
 ELEONORA;358;0,2
 MARTA;357;0,2
 GIULIANO;352;0,2
 MARINA;351;0,2
 EMANUELE;349;0,2
 ILARIA;337;0,2
 VALERIA;333;0,2
 GIACOMO;330;0,2
 TERESA;330;0,2
 ROSANNA;326;0,2
 TIZIANA;323;0,2
 CINZIA;322;0,2
 CORRADO;320;0,2
 MASSIMILIANO;316;0,2
 RAFFAELE;314;0,2
 BEATRICE;313;0,2
 GIANCARLO;307;0,2
 ANNALISA;302;0,2
 BRUNO;300;0,2
 GIULIANA;300;0,2
 ANNAMARIA;299;0,2
 MANUELA;297;0,2
 VERONICA;295;0,2
 LUCIANA;289;0,2
 MARGHERITA;287;0,2
 LOREDANA;282;0,2
 ARIANNA;281;0,2
 IVAN;281;0,2
 SAMUELE;279;0,2
 ANTONIETTA;278;0,2
 MATILDE;277;0,2
 NADIA;276;0,2
 ADRIANA;275;0,2
 CARMELA;275;0,2
 MOHAMED;273;0,2
 GABRIELLA;270;0,2
 SABRINA;270;0,2
 NICOLO';269;0,2
 EMANUELA;268;0,2
 EMMA;266;0,2
 SONIA;264;0,2
 ALEX;260;0,2
 CECILIA;259;0,2
 CHRISTIAN;255;0,1
 AURORA;252;0,1
 GRETA;252;0,1
 PASQUALE;252;0,1
 GIADA;248;0,1
 MIRELLA;248;0,1
 IRENE;244;0,1
 VITTORIO;237;0,1
 ALESSIO;233;0,1
 GRAZIELLA;231;0,1
 GIANFRANCO;228;0,1
 LILIANA;223;0,1
 MARA;221;0,1
 MARCELLO;219;0,1
 GIULIO;217;0,1
 LORETTA;214;0,1
 TIZIANO;208;0,1
 CIRO;207;0,1
 DIEGO;207;0,1
 GAETANO;206;0,1
 FAUSTO;205;0,1
 LIDIA;204;0,1
 UMBERTO;201;0,1
 EDOARDO;199;0,1
 MARIA GRAZIA;198;0,1
 ENRICA;197;0,1
 MARIANNA;197;0,1
 CARMINE;193;0,1
 SANDRA;193;0,1
 MANUEL;192;0,1
 DARIO;188;0,1
 SILVANO;186;0,1
 MIRCO;185;0,1
 RAFFAELLA;184;0,1
 LETIZIA;183;0,1
 LINA;183;0,1
 BRUNA;182;0,1
 NICOLE;182;0,1
 SERENA;182;0,1
 ALFREDO;180;0,1
 VITTORIA;180;0,1
 GUIDO;178;0,1
 LORENA;176;0,1
 ENZO;175;0,1
 IVANO;175;0,1
 DEANNA;174;0,1
 ISABELLA;174;0,1
 ERIKA;173;0,1
 ADELE;172;0,1
 BENEDETTA;171;0,1
 FILOMENA;168;0,1
 JESSICA;168;0,1
 MARIA TERESA;168;0,1
 CAMILLA;165;0,1
 LISA;165;0,1
 MAURA;165;0,1
 ALDO;164;0,1
 GAIA;164;0,1
 EDDA;163;0,1
 GENNARO;163;0,1
 ROMANO;163;0,1
 MARIA LUISA;161;0,1
 NOEMI;161;0,1
 ROSSELLA;161;0,1
 ADRIANO;155;0,1
 ROSSANA;155;0,1
 DANIEL;153;0,1
 RENZO;153;0,1
 MARZIA;152;0,1
 GINO;151;0,1
 LINDA;150;0,1
 VANNA;148;0,1
 CARLOTTA;146;0,1
 CONCETTA;145;0,1
 VALERIO;145;0,1
 GLORIA;144;0,1
 JACOPO;144;0,1
 BIANCA;143;0,1
 EMILIO;143;0,1
 OLGA;143;0,1
 AHMED;142;0,1
 CARMEN;142;0,1
 ROSARIA;142;0,1
 LARA;141;0,1
 REBECCA;140;0,1
 ROSARIO;140;0,1
 CAROLINA;138;0,1
 TATIANA;138;0,1
 VINCENZA;138;0,1
 DANILO;136;0,1
 MADDALENA;136;0,1
 DOMENICA;135;0,1
 THOMAS;134;0,1
 DEBORA;133;0,1
 GRAZIA;132;0,1
 MARIA CRISTINA;132;0,1
 EMILIA;131;0,1
 LORENZA;131;0,1
 EUGENIO;130;0,1
 CESARE;129;0,1
 DONATELLA;129;0,1
 VIOLA;129;0,1
 GIANNA;128;0,1
 NATALIA;128;0,1
 KATIA;127;0,1
 MARIAGRAZIA;127;0,1
 NICOLETTA;127;0,1
 RENATO;127;0,1
 CLARA;125;0,1
 CATIA;123;0,1
 VITO;123;0,1
 ASIA;122;0,1
 AGNESE;121;0,1
 OMAR;121;0,1
 MORENA;120;0,1
 SAMUEL;119;0,1
 FATIMA;117;0,1
 IVANA;117;0,1
 MICHELA;117;0,1
 RINA;116;0,1
 IDA;115;0,1
 ANTONIA;114;0,1
 ARMANDO;113;0,1
 KHADIJA;112;0,1
 ETTORE;111;0,1
 ELIA;110;0,1
 MIRIAM;109;0,1
 ASSUNTA;108;0,1
 ERMANNO;108;0,1
 ALFONSO;107;0,1
 SANDRO;106;0,1
 DIANA;105;0,1
 MARIYA;105;0,1
 MIRKO;105;0,1
 GRAZIANO;104;0,1
 SUSANNA;104;0,1
 WILLIAM;104;0,1
 ROCCO;103;0,1
 INES;102;0,1
 VIRGINIA;102;0,1
 LORIS;101;0,1
 MARIALUISA;101;0,1
 ANGELICA;100;0,1
 GABRIEL;100;0,1
 MILENA;100;0,1
